id,salary_in_usd
0,143837.65385066788
1,132916.08462074836
2,101105.06875546962
3,63507.72373369453
4,33587.31592775925
5,45492.75850658162
6,97351.35366036934
7,46063.05859737023
8,57665.48065140144
9,163086.8910605414
10,34544.64285049986
11,202473.47660468784
12,58073.361071986044
13,25259.70518080154
14,87802.76563189633
15,50585.96204370285
16,127655.77988317863
17,180423.6482829228
18,60902.41926386342
19,52865.430379456935
20,12818.541659299968
21,60948.064915858966
22,88230.23452432048
23,203776.18381212695
24,65002.62924221158
25,42835.40247884003
26,87550.5582823134
27,288804.452450616
28,52499.70543548681
29,154058.66334344982
30,117989.41464235637
31,115005.7963766612
32,70970.45705998808
33,91235.04115305636
34,62979.33283668092
35,86175.8285585745
36,219091.1534393837
37,1648.106388669432
38,85577.37432369345
39,233179.1994736687
40,-20466.35320446409
41,14001.123635927404
42,109954.21300887168
43,191509.45462429797
44,97467.45503748968
45,306281.2654222116
46,130808.37794398316
47,84781.14263655206
48,115005.7963766612
49,43273.38049702789
50,131709.4651116906
51,57734.58074701435
52,121252.20157391
53,151037.88540552458
54,103684.32332369778
55,85753.42572381566
56,166723.12381925428
57,166347.8603049046
58,125958.19856211908
59,151531.3198815712
60,125958.19856211908
61,236133.67679810335
62,151531.3198815712
63,149860.03642421897
64,195113.553901202
65,200466.7666920444
66,200466.7666920444
67,151531.3198815712
68,122709.84791485273
69,83886.49640102779
70,192615.11471674868
71,168698.114262867
72,65732.55662902047
73,72166.35498837137
74,96626.45732921889
75,132581.55108434526
76,75913.10615838028
77,83955.13626186762
78,136461.7498593423
79,124473.00224882067
80,35758.49659066711
81,33645.37812529979
82,346970.67389634706
83,283106.3731209122
84,123137.19513725003
85,73732.45742762991
86,73732.45742762991
87,166723.12381925428
88,151531.3198815712
89,123592.16084835785
90,110628.45858454517
91,42991.66705523184
92,92723.73688801036
93,84593.70866234862
94,151531.3198815712
95,202811.44877353375
96,29534.138449330305
97,81230.23869948948
98,89544.6354721758
99,161802.68944182925
100,151531.3198815712
101,125958.19856211908
102,125958.19856211908
103,200466.7666920444
104,166723.12381925428
105,75537.01260598667
106,122709.84791485273
