id,salary_in_usd
0,141755.81217614748
1,177261.07299081422
2,118185.53650704956
3,157734.57433740236
4,31334.99190942383
5,24696.44601098633
6,78087.53666345215
7,60291.51813165283
8,123908.8135379944
9,156283.59794847108
10,110704.38876000977
11,176745.21371118166
12,60567.76159326172
13,59558.75457803345
14,158468.02956811525
15,60568.21481076813
16,121145.08628121948
17,186741.04270211796
18,59201.68087045288
19,76194.73652307129
20,57266.063007751465
21,70544.41248742676
22,86028.86391870117
23,146869.3260997925
24,44894.66700402832
25,96779.68652001952
26,82868.43072930908
27,185316.74942437743
28,72678.48081628418
29,85663.68131677246
30,80637.00263635254
31,118391.81323472597
32,92334.44330255128
33,92839.58657495116
34,104323.9311184082
35,80590.28397862053
36,146869.3260997925
37,22884.137352386475
38,70111.29327789879
39,198241.11629907228
40,98259.91839257813
41,27086.39747277832
42,126336.49364511108
43,185168.55053369145
44,91336.35790673828
45,249504.78124658205
46,114270.70211068726
47,69323.08417145348
48,118391.81323472597
49,40164.68177835083
50,123946.87034265135
51,76213.04840509033
52,117761.60593358612
53,141761.9593087826
54,91089.54462472534
55,77942.78146020508
56,160974.34064904787
57,176740.58161203004
58,112752.48710385896
59,138934.7905046139
60,112752.48710385896
61,229821.87907067875
62,138934.7905046139
63,135816.52132073976
64,176255.12635461427
65,162832.62612573244
66,162832.62612573244
67,138934.7905046139
68,112392.3176626358
69,71903.39588586426
70,159985.35634271242
71,166826.04173509218
72,83319.76481668091
73,69253.2307652626
74,198003.66549340825
75,124993.51586190796
76,68363.11044208145
77,82271.86566058731
78,124010.5310253296
79,186219.3715786133
80,37536.51047937012
81,42038.29232446289
82,154635.08132592775
83,219614.62752954103
84,108577.3154682312
85,67221.08977262116
86,67221.08977262116
87,160974.34064904787
88,138934.7905046139
89,99769.40147821044
90,101299.00974694824
91,45039.87377587891
92,86260.93672029114
93,84405.47198144531
94,138934.7905046139
95,160807.52863732912
96,69796.3573230896
97,77532.35116998291
98,82149.07698480225
99,176235.44068566896
100,138934.7905046139
101,112752.48710385896
102,112752.48710385896
103,162832.62612573244
104,160974.34064904787
105,73159.6961273346
106,112392.3176626358
