id,salary_in_usd
0,135445.0242318306
1,173570.34167138673
2,124566.83364526369
3,135344.61283532716
4,31850.34634057617
5,40994.46487514114
6,107961.99687615968
7,48601.75106469727
8,99473.52194002828
9,164659.1555580292
10,79660.33951036072
11,177714.35627214052
12,87508.42035333252
13,38636.40381900406
14,158902.52925483324
15,59592.99900571442
16,125710.12939874268
17,178982.4634975586
18,65281.69897166824
19,86802.32247010803
20,67139.56428186035
21,67276.63549605942
22,83495.58979455566
23,151449.4154981766
24,36199.740353027344
25,83762.22488490677
26,91767.24643031693
27,187634.76029626463
28,83055.1855262909
29,162917.37606278993
30,153941.17902795412
31,125356.71766130066
32,112291.09116307832
33,90301.70167199709
34,99168.94065133668
35,77344.28620950317
36,151449.4154981766
37,19043.84249345398
38,69594.17793695068
39,198769.5908455048
40,66857.5275901947
41,20843.115993896485
42,130963.16433374023
43,193438.6644996796
44,92608.509126937
45,241675.21868363957
46,129486.21968499756
47,70528.98465768433
48,125356.71766130066
49,39038.9307564888
50,128681.37430933677
51,93850.10096398926
52,117765.9916576538
53,144453.90092889406
54,111617.46205369568
55,78604.669125
56,160747.97670022584
57,172484.004977623
58,112745.7652219925
59,139318.8181232605
60,112745.7652219925
61,212631.0364545975
62,139318.8181232605
63,130709.96210519408
64,164069.54114572145
65,162447.01253644563
66,162447.01253644563
67,139318.8181232605
68,115253.34816781616
69,78495.19343225098
70,160788.72375146486
71,169136.44910661317
72,94262.12780992126
73,66922.87170259094
74,150140.94910661317
75,131209.31316033937
76,62956.29346833563
77,82630.49437127447
78,109421.72125283814
79,171691.51815454103
80,24067.96371118164
81,31992.996822753907
82,139150.21898881532
83,194798.25789872743
84,119867.16917745207
85,68761.60666886902
86,68761.60666886902
87,160747.97670022584
88,139318.8181232605
89,78165.38778058624
90,88235.1032680664
91,47968.21855584717
92,68916.14161340332
93,79875.57888392171
94,139318.8181232605
95,141406.791712204
96,69096.20475427246
97,74017.27857629395
98,73883.51088182068
99,157205.32424203493
100,139318.8181232605
101,112745.7652219925
102,112745.7652219925
103,162447.01253644563
104,160747.97670022584
105,54184.17904893494
106,115253.34816781616
